Aberdeen;Escócia
Anji;Rússia
Leipzig;Alemanha
Hertha;Alemanha
Lyngby;Dinamarca
Konyaspor;Turquia
Villarreal;Espanha
Apollon;Chipre
Ferencváros;Hungria
Dinamo Moskva;Rússia
Feyenoord;Holanda
Asteras;Grécia
Levadia;Estónia
APOEL;Chipre
B36;Faroé
Giannina;Grécia
