Home Team;Away Team;Result
Panathinaikos;Dinamo Moskva;Loss
PSV;Estoril;Win
Dnipro;Internazionale;Loss
Sevilla;Feyenoord;Win
Standard Liège;Rijeka;Win
Everton;Wolfsburg;Win
LOSC;Krasnodar;Draw
Napoli;Sparta Praha;Win
Young Boys;Slovan Bratislava;Win
Rio Ave;Dynamo Kyiv;Loss
FCSB;AaB;Win
Fiorentina;Guingamp;Win
PAOK;Dinamo Minsk;Win
Legia;Lokeren;Win
Metalist;Trabzonspor;Loss
Dinamo Moskva;PSV;Win
Krasnodar;Everton;Draw
Rijeka;Sevilla;Draw
Feyenoord;Standard Liège;Win
Wolfsburg;LOSC;Draw
Slovan Bratislava;Napoli;Loss
Sparta Praha;Young Boys;Win
AaB;Rio Ave;Win
Dynamo Kyiv;FCSB;Win
Dinamo Minsk;Fiorentina;Loss
Guingamp;PAOK;Win
Trabzonspor;Legia;Loss
Lokeren;Metalist;Win
Villarreal;Apollon;Win
Zürich;Mönchengladbach;Draw
Torino;København;Win
HJK;Club Brugge;Loss
Tottenham;Beşiktaş;Draw
Asteras;Partizan;Win
Celtic;Dinamo Zagreb;Win
Astra;Salzburg;Loss
Estoril;Panathinaikos;Win
Internazionale;Qarabağ;Win
St-Étienne;Dnipro;Draw
Metalist;Legia;Loss
Krasnodar;Wolfsburg;Loss
Standard Liège;Sevilla;Draw
Rijeka;Feyenoord;Win
LOSC;Everton;Draw
Young Boys;Napoli;Win
Slovan Bratislava;Sparta Praha;Loss
FCSB;Rio Ave;Win
AaB;Dynamo Kyiv;Win
PAOK;Fiorentina;Loss
Dinamo Minsk;Guingamp;Draw
Trabzonspor;Lokeren;Win
Mönchengladbach;Apollon;Win
Villarreal;Zürich;Win
Club Brugge;København;Draw
Torino;HJK;Win
Partizan;Beşiktaş;Loss
Tottenham;Asteras;Win
Salzburg;Dinamo Zagreb;Win
Celtic;Astra;Win
PSV;Panathinaikos;Draw
Estoril;Dinamo Moskva;Loss
Dnipro;Qarabağ;Loss
Internazionale;St-Étienne;Draw
Dinamo Moskva;Estoril;Win
Qarabağ;Dnipro;Loss
Apollon;Mönchengladbach;Loss
Zürich;Villarreal;Win
København;Club Brugge;Loss
HJK;Torino;Win
Beşiktaş;Partizan;Win
Asteras;Tottenham;Loss
Dinamo Zagreb;Salzburg;Loss
Astra;Celtic;Draw
Panathinaikos;PSV;Loss
St-Étienne;Internazionale;Draw
Sevilla;Standard Liège;Win
Feyenoord;Rijeka;Win
Everton;LOSC;Win
Wolfsburg;Krasnodar;Win
Napoli;Young Boys;Win
Sparta Praha;Slovan Bratislava;Win
Rio Ave;FCSB;Draw
Dynamo Kyiv;AaB;Win
Fiorentina;PAOK;Draw
Guingamp;Dinamo Minsk;Win
Legia;Metalist;Win
Lokeren;Trabzonspor;Draw
Dinamo Moskva;Panathinaikos;Win
Krasnodar;LOSC;Draw
Feyenoord;Sevilla;Win
Rijeka;Standard Liège;Win
Wolfsburg;Everton;Loss
Sparta Praha;Napoli;Draw
Slovan Bratislava;Young Boys;Loss
Dynamo Kyiv;Rio Ave;Win
AaB;FCSB;Win
Guingamp;Fiorentina;Loss
Dinamo Minsk;PAOK;Loss
Lokeren;Legia;Win
Trabzonspor;Metalist;Win
Zürich;Apollon;Win
Villarreal;Mönchengladbach;Draw
HJK;København;Win
Torino;Club Brugge;Draw
Asteras;Beşiktaş;Draw
Tottenham;Partizan;Win
Astra;Dinamo Zagreb;Win
Celtic;Salzburg;Loss
St-Étienne;Qarabağ;Draw
Internazionale;Dnipro;Win
Estoril;PSV;Draw
Qarabağ;Internazionale;Draw
Dnipro;St-Étienne;Win
Apollon;Villarreal;Loss
Mönchengladbach;Zürich;Win
København;Torino;Loss
Club Brugge;HJK;Win
Beşiktaş;Tottenham;Win
Partizan;Asteras;Draw
Dinamo Zagreb;Celtic;Win
Salzburg;Astra;Win
Panathinaikos;Estoril;Draw
PSV;Dinamo Moskva;Loss
Sevilla;Rijeka;Win
Standard Liège;Feyenoord;Loss
Everton;Krasnodar;Loss
LOSC;Wolfsburg;Loss
Napoli;Slovan Bratislava;Win
Young Boys;Sparta Praha;Win
Rio Ave;AaB;Win
FCSB;Dynamo Kyiv;Loss
Fiorentina;Dinamo Minsk;Loss
PAOK;Guingamp;Loss
Legia;Trabzonspor;Win
Metalist;Lokeren;Loss
PSV;Zenit;Loss
Roma;Feyenoord;Draw
Trabzonspor;Napoli;Loss
Dnipro;Olympiacos;Win
AaB;Club Brugge;Loss
Wolfsburg;Sporting CP;Win
