Home Team;Away Team;Result
Maribor;Zrinjski;Win
St Patrick's;Legia;Loss
Sparta Praha;Malmö;Win
Slovan Bratislava;Sheriff;Win
Debrecen;BATE;Win
Aktobe;FCSB;Draw
Qarabağ;Salzburg;Win
Dnipro;København;Draw
AEL;Zenit;Win
HJK;APOEL;Draw
Grasshoppers;LOSC;Loss
Standard Liège;Panathinaikos;Draw
Feyenoord;Beşiktaş;Loss
Ludogorets;Partizan;Draw
AaB;Dinamo Zagreb;Loss
Maribor;M. Tel-Aviv;Win
Legia;Celtic;Win
BATE;Debrecen;Win
Panathinaikos;Standard Liège;Loss
M. Tel-Aviv;Maribor;Draw
LOSC;Grasshoppers;Draw
Zenit;AEL;Win
APOEL;HJK;Win
Malmö;Sparta Praha;Win
Sheriff;Slovan Bratislava;Draw
Beşiktaş;Feyenoord;Win
FCSB;Aktobe;Win
København;Dnipro;Win
Salzburg;Qarabağ;Win
Partizan;Ludogorets;Draw
Celtic;Legia;Win
Dinamo Zagreb;AaB;Loss
Napoli;Athletic;Draw
København;Leverkusen;Loss
Beşiktaş;Arsenal;Draw
FCSB;Ludogorets;Win
Salzburg;Malmö;Win
LOSC;Porto;Loss
Standard Liège;Zenit;Loss
Slovan Bratislava;BATE;Draw
AaB;APOEL;Draw
Maribor;Celtic;Draw
Zenit;Standard Liège;Win
Porto;LOSC;Win
BATE;Slovan Bratislava;Win
APOEL;AaB;Win
Celtic;Maribor;Loss
Athletic;Napoli;Win
Leverkusen;København;Win
Arsenal;Beşiktaş;Win
Ludogorets;FCSB;Win
Malmö;Salzburg;Win
Juventus;Malmö;Win
Olympiacos;Atlético;Win
Real Madrid;Basel;Win
Liverpool;Ludogorets;Win
Benfica;Zenit;Loss
Monaco;Leverkusen;Win
Dortmund;Arsenal;Win
Galatasaray;Anderlecht;Draw
Bayern;Man. City;Win
Roma;CSKA Moskva;Win
Ajax;Paris;Draw
Barcelona;APOEL;Win
Maribor;Sporting CP;Draw
Chelsea;Schalke;Draw
Athletic;Shakhtar Donetsk;Draw
Porto;BATE;Win
CSKA Moskva;Bayern;Loss
Man. City;Roma;Draw
APOEL;Ajax;Draw
Paris;Barcelona;Win
Schalke;Maribor;Draw
Sporting CP;Chelsea;Loss
BATE;Athletic;Win
Shakhtar Donetsk;Porto;Draw
Zenit;Monaco;Draw
Atlético;Juventus;Win
Malmö;Olympiacos;Win
Ludogorets;Real Madrid;Loss
Basel;Liverpool;Win
Leverkusen;Benfica;Win
Anderlecht;Dortmund;Loss
Arsenal;Galatasaray;Win
CSKA Moskva;Man. City;Draw
Roma;Bayern;Loss
Barcelona;Ajax;Win
APOEL;Paris;Loss
Chelsea;Maribor;Win
Schalke;Sporting CP;Win
Porto;Athletic;Win
BATE;Shakhtar Donetsk;Loss
Olympiacos;Juventus;Win
Atlético;Malmö;Win
Liverpool;Real Madrid;Loss
Ludogorets;Basel;Win
Monaco;Benfica;Draw
Leverkusen;Zenit;Win
Galatasaray;Dortmund;Loss
Anderlecht;Arsenal;Loss
Zenit;Leverkusen;Loss
Juventus;Olympiacos;Win
Malmö;Atlético;Loss
Real Madrid;Liverpool;Win
Basel;Ludogorets;Win
Benfica;Monaco;Win
Dortmund;Galatasaray;Win
Arsenal;Anderlecht;Draw
Bayern;Roma;Win
Man. City;CSKA Moskva;Loss
Ajax;Barcelona;Loss
Paris;APOEL;Win
Maribor;Chelsea;Draw
Sporting CP;Schalke;Win
Athletic;Porto;Loss
Shakhtar Donetsk;BATE;Win
CSKA Moskva;Roma;Draw
BATE;Porto;Loss
Man. City;Bayern;Win
Paris;Ajax;Win
APOEL;Barcelona;Loss
Sporting CP;Maribor;Win
Schalke;Chelsea;Loss
Shakhtar Donetsk;Athletic;Loss
Zenit;Benfica;Win
Malmö;Juventus;Loss
Atlético;Olympiacos;Win
Basel;Real Madrid;Loss
Ludogorets;Liverpool;Draw
Leverkusen;Monaco;Loss
Arsenal;Dortmund;Win
Anderlecht;Galatasaray;Win
Juventus;Atlético;Draw
Olympiacos;Malmö;Win
Real Madrid;Ludogorets;Win
Liverpool;Basel;Draw
Benfica;Leverkusen;Draw
Monaco;Zenit;Win
Dortmund;Anderlecht;Draw
Galatasaray;Arsenal;Loss
Bayern;CSKA Moskva;Win
Roma;Man. City;Loss
Ajax;APOEL;Win
Barcelona;Paris;Win
Maribor;Schalke;Loss
Chelsea;Sporting CP;Win
Athletic;BATE;Win
Porto;Shakhtar Donetsk;Draw
Shakhtar Donetsk;Bayern;Draw
Paris;Chelsea;Draw
Schalke;Real Madrid;Loss
Basel;Porto;Draw
Juventus;Dortmund;Win
Man. City;Barcelona;Loss
Leverkusen;Atlético;Win
Arsenal;Monaco;Loss
Real Madrid;Schalke;Loss
Porto;Basel;Win
Bayern;Shakhtar Donetsk;Win
Chelsea;Paris;Draw
Atlético;Leverkusen;Win
Monaco;Arsenal;Loss
Dortmund;Juventus;Loss
Barcelona;Man. City;Win
Juventus;Monaco;Win
Atlético;Real Madrid;Draw
Porto;Bayern;Win
Paris;Barcelona;Loss
Barcelona;Paris;Win
Bayern;Porto;Win
Real Madrid;Atlético;Win
Monaco;Juventus;Draw
Juventus;Real Madrid;Win
Barcelona;Bayern;Win
Bayern;Barcelona;Win
Real Madrid;Juventus;Draw
Juventus;Barcelona;Loss
Pyunik;Folgore;Win
Lincoln Red Imps;FC Santa Coloma;Draw
Crusaders;Levadia;Draw
B36;TNS;Loss
Levadia;Crusaders;Draw
TNS;B36;Win
FC Santa Coloma;Lincoln Red Imps;Loss
Folgore;Pyunik;Loss
Ventspils;HJK;Loss
APOEL;Vardar;Draw
Midtjylland;Lincoln Red Imps;Win
Ludogorets;Milsami;Loss
TNS;Vidi;Loss
Skënderbeu;Crusaders;Win
Molde;Pyunik;Win
Hibernians;M. Tel-Aviv;Win
Trenčín;FCSB;Loss
Maribor;Astana;Win
Partizan;Dila;Win
Sarajevo;Lech;Loss
Qarabağ;Rudar Pljevlja;Draw
Malmö;Žalgiris;Draw
BATE;Dundalk;Win
Celtic;Stjarnan;Win
Dinamo Zagreb;Fola;Draw
Dila;Partizan;Loss
Pyunik;Molde;Win
Milsami;Ludogorets;Win
HJK;Ventspils;Win
M. Tel-Aviv;Hibernians;Win
Lincoln Red Imps;Midtjylland;Loss
Vardar;APOEL;Draw
Žalgiris;Malmö;Loss
Crusaders;Skënderbeu;Win
Astana;Maribor;Win
Fola;Dinamo Zagreb;Loss
Vidi;TNS;Draw
FCSB;Trenčín;Loss
Dundalk;BATE;Draw
Lech;Sarajevo;Win
Rudar Pljevlja;Qarabağ;Loss
Stjarnan;Celtic;Loss
CSKA Moskva;Sparta Praha;Draw
Midtjylland;APOEL;Loss
Milsami;Skënderbeu;Loss
M. Tel-Aviv;Plzeň;Loss
Fenerbahçe;Shakhtar Donetsk;Draw
Panathinaikos;Club Brugge;Win
Young Boys;Monaco;Loss
Vidi;BATE;Draw
Dinamo Zagreb;Molde;Draw
HJK;Astana;Draw
Salzburg;Malmö;Win
FCSB;Partizan;Draw
Celtic;Qarabağ;Win
Lech;Basel;Loss
Rapid Wien;Ajax;Draw
Molde;Dinamo Zagreb;Draw
APOEL;Midtjylland;Loss
Ajax;Rapid Wien;Loss
Monaco;Young Boys;Win
Astana;HJK;Win
Qarabağ;Celtic;Draw
Sparta Praha;CSKA Moskva;Loss
BATE;Vidi;Win
Basel;Lech;Win
Club Brugge;Panathinaikos;Win
Malmö;Salzburg;Win
Partizan;FCSB;Win
Shakhtar Donetsk;Fenerbahçe;Win
Plzeň;M. Tel-Aviv;Loss
Skënderbeu;Milsami;Win
Astana;APOEL;Win
Sporting CP;CSKA Moskva;Win
Man. United;Club Brugge;Win
Lazio;Leverkusen;Win
BATE;Partizan;Win
Valencia;Monaco;Win
Rapid Wien;Shakhtar Donetsk;Loss
Basel;M. Tel-Aviv;Draw
Celtic;Malmö;Win
Skënderbeu;Dinamo Zagreb;Loss
M. Tel-Aviv;Basel;Draw
Malmö;Celtic;Win
Dinamo Zagreb;Skënderbeu;Win
Monaco;Valencia;Win
Shakhtar Donetsk;Rapid Wien;Draw
Partizan;BATE;Win
APOEL;Astana;Draw
CSKA Moskva;Sporting CP;Win
Club Brugge;Man. United;Loss
Leverkusen;Lazio;Win
Real Madrid;Shakhtar Donetsk;Win
Paris;Malmö;Win
PSV;Man. United;Win
Wolfsburg;CSKA Moskva;Win
Benfica;Astana;Win
Galatasaray;Atlético;Loss
Sevilla;Mönchengladbach;Win
Man. City;Juventus;Loss
Roma;Barcelona;Draw
Leverkusen;BATE;Win
Olympiacos;Bayern;Loss
Dinamo Zagreb;Arsenal;Win
Chelsea;M. Tel-Aviv;Win
Dynamo Kyiv;Porto;Draw
Gent;Lyon;Draw
Valencia;Zenit;Loss
BATE;Roma;Win
Barcelona;Leverkusen;Win
Arsenal;Olympiacos;Loss
Bayern;Dinamo Zagreb;Win
Porto;Chelsea;Win
M. Tel-Aviv;Dynamo Kyiv;Loss
Zenit;Gent;Win
Lyon;Valencia;Loss
Astana;Galatasaray;Draw
Malmö;Real Madrid;Loss
Shakhtar Donetsk;Paris;Loss
CSKA Moskva;PSV;Win
Man. United;Wolfsburg;Win
Atlético;Benfica;Loss
Juventus;Sevilla;Win
Mönchengladbach;Man. City;Loss
Leverkusen;Roma;Draw
BATE;Barcelona;Loss
Dinamo Zagreb;Olympiacos;Loss
Arsenal;Bayern;Win
Dynamo Kyiv;Chelsea;Draw
Porto;M. Tel-Aviv;Win
Valencia;Gent;Win
Zenit;Lyon;Win
Paris;Real Madrid;Draw
Malmö;Shakhtar Donetsk;Win
Wolfsburg;PSV;Win
CSKA Moskva;Man. United;Draw
Galatasaray;Benfica;Win
Atlético;Astana;Win
Man. City;Sevilla;Win
Juventus;Mönchengladbach;Draw
Astana;Atlético;Draw
Real Madrid;Paris;Win
Shakhtar Donetsk;Malmö;Win
PSV;Wolfsburg;Win
Man. United;CSKA Moskva;Win
Benfica;Galatasaray;Win
Sevilla;Man. City;Loss
Mönchengladbach;Juventus;Draw
Roma;Leverkusen;Win
Barcelona;BATE;Win
Olympiacos;Dinamo Zagreb;Win
Bayern;Arsenal;Win
Chelsea;Dynamo Kyiv;Win
M. Tel-Aviv;Porto;Loss
Gent;Valencia;Win
Lyon;Zenit;Loss
BATE;Leverkusen;Draw
Zenit;Valencia;Win
Barcelona;Roma;Win
Bayern;Olympiacos;Win
Arsenal;Dinamo Zagreb;Win
M. Tel-Aviv;Chelsea;Loss
Porto;Dynamo Kyiv;Loss
Lyon;Gent;Loss
Astana;Benfica;Draw
CSKA Moskva;Wolfsburg;Loss
Shakhtar Donetsk;Real Madrid;Loss
Malmö;Paris;Loss
Man. United;PSV;Draw
Atlético;Galatasaray;Win
Mönchengladbach;Sevilla;Win
Juventus;Man. City;Win
Real Madrid;Malmö;Win
Paris;Shakhtar Donetsk;Win
PSV;CSKA Moskva;Win
Wolfsburg;Man. United;Win
Benfica;Atlético;Loss
Galatasaray;Astana;Draw
Sevilla;Juventus;Win
Man. City;Mönchengladbach;Win
Roma;BATE;Draw
Leverkusen;Barcelona;Draw
Olympiacos;Arsenal;Loss
Dinamo Zagreb;Bayern;Loss
Chelsea;Porto;Win
Dynamo Kyiv;M. Tel-Aviv;Win
Gent;Zenit;Win
Valencia;Lyon;Loss
Paris;Chelsea;Win
Benfica;Zenit;Win
Roma;Real Madrid;Loss
Gent;Wolfsburg;Loss
Juventus;Bayern;Draw
Arsenal;Barcelona;Loss
PSV;Atlético;Draw
Dynamo Kyiv;Man. City;Loss
Real Madrid;Roma;Win
Wolfsburg;Gent;Win
Zenit;Benfica;Loss
Chelsea;Paris;Loss
Atlético;PSV;Draw
Man. City;Dynamo Kyiv;Draw
Barcelona;Arsenal;Win
Bayern;Juventus;Win
Barcelona;Atlético;Win
Bayern;Benfica;Win
Paris;Man. City;Draw
Wolfsburg;Real Madrid;Win
Real Madrid;Wolfsburg;Win
Man. City;Paris;Win
Benfica;Bayern;Draw
Atlético;Barcelona;Win
Man. City;Real Madrid;Draw
Atlético;Bayern;Win
Bayern;Atlético;Win
Real Madrid;Man. City;Win
Real Madrid;Atlético;Draw
Flora;Lincoln Red Imps;Win
Valletta;B36;Win
FC Santa Coloma;Alashkert;Draw
TNS;Tre Penne;Win
Alashkert;FC Santa Coloma;Win
B36;Valletta;Win
Tre Penne;TNS;Loss
Lincoln Red Imps;Flora;Win
Zrinjski;Legia;Draw
Dinamo Tbilisi;Alashkert;Win
Qarabağ;Dudelange;Win
H. Beer-Sheva;Sheriff;Win
Lincoln Red Imps;Celtic;Win
Valletta;Crvena zvezda;Loss
BATE;SJK;Win
TNS;APOEL;Draw
Salzburg;Liepāja;Win
Vardar;Dinamo Zagreb;Loss
Rosenborg;Norrköping;Win
Žalgiris;Astana;Draw
Ludogorets;Titograd;Win
Crusaders;København;Loss
Partizani;Ferencváros;Draw
Olimpija Ljubljana;Trenčín;Loss
Dundalk;FH;Draw
Alashkert;Dinamo Tbilisi;Draw
Liepāja;Salzburg;Loss
SJK;BATE;Draw
APOEL;TNS;Win
Sheriff;H. Beer-Sheva;Draw
København;Crusaders;Win
Crvena zvezda;Valletta;Win
Titograd;Ludogorets;Loss
Legia;Zrinjski;Win
Astana;Žalgiris;Win
Dudelange;Qarabağ;Draw
Norrköping;Rosenborg;Win
Ferencváros;Partizani;Draw
Trenčín;Olimpija Ljubljana;Loss
Celtic;Lincoln Red Imps;Win
Dinamo Zagreb;Vardar;Win
FH;Dundalk;Draw
Sparta Praha;FCSB;Draw
Ludogorets;Crvena zvezda;Draw
BATE;Dundalk;Win
Partizani;Salzburg;Loss
Plzeň;Qarabağ;Draw
Rostov;Anderlecht;Draw
Shakhtar Donetsk;Young Boys;Win
Ajax;PAOK;Draw
Dinamo Zagreb;Dinamo Tbilisi;Win
Astana;Celtic;Draw
Rosenborg;APOEL;Win
Astra;København;Draw
Fenerbahçe;Monaco;Win
Trenčín;Legia;Loss
Olympiacos;H. Beer-Sheva;Draw
Qarabağ;Plzeň;Draw
Dinamo Tbilisi;Dinamo Zagreb;Loss
APOEL;Rosenborg;Win
Crvena zvezda;Ludogorets;Loss
Dundalk;BATE;Win
FCSB;Sparta Praha;Win
København;Astra;Win
H. Beer-Sheva;Olympiacos;Win
Young Boys;Shakhtar Donetsk;Win
PAOK;Ajax;Loss
Salzburg;Partizani;Win
Monaco;Fenerbahçe;Win
Anderlecht;Rostov;Loss
Legia;Trenčín;Draw
Celtic;Astana;Win
Young Boys;Mönchengladbach;Loss
Ajax;Rostov;Draw
FCSB;Man. City;Loss
Dinamo Zagreb;Salzburg;Draw
København;APOEL;Win
Villarreal;Monaco;Loss
Porto;Roma;Draw
Dundalk;Legia;Loss
Celtic;H. Beer-Sheva;Win
Ludogorets;Plzeň;Win
Legia;Dundalk;Draw
H. Beer-Sheva;Celtic;Win
Plzeň;Ludogorets;Draw
Monaco;Villarreal;Win
Roma;Porto;Loss
Salzburg;Dinamo Zagreb;Loss
APOEL;København;Draw
Mönchengladbach;Young Boys;Win
Rostov;Ajax;Win
Man. City;FCSB;Win
Basel;Ludogorets;Draw
Paris;Arsenal;Draw
Benfica;Beşiktaş;Draw
Dynamo Kyiv;Napoli;Loss
Barcelona;Celtic;Win
PSV;Atlético;Loss
Bayern;Rostov;Win
Man. City;Mönchengladbach;Win
Tottenham;Monaco;Loss
Leverkusen;CSKA Moskva;Draw
Legia;Dortmund;Loss
Real Madrid;Sporting CP;Win
Porto;København;Draw
Club Brugge;Leicester;Loss
Juventus;Sevilla;Draw
Lyon;Dinamo Zagreb;Win
CSKA Moskva;Tottenham;Loss
Monaco;Leverkusen;Draw
Sporting CP;Legia;Win
Dortmund;Real Madrid;Draw
Leicester;Porto;Win
København;Club Brugge;Win
Dinamo Zagreb;Juventus;Loss
Sevilla;Lyon;Win
Arsenal;Basel;Win
Ludogorets;Paris;Loss
Napoli;Benfica;Win
Beşiktaş;Dynamo Kyiv;Draw
Celtic;Man. City;Draw
Mönchengladbach;Barcelona;Loss
Rostov;PSV;Draw
Atlético;Bayern;Win
Leverkusen;Tottenham;Draw
CSKA Moskva;Monaco;Draw
Real Madrid;Legia;Win
Sporting CP;Dortmund;Loss
Club Brugge;Porto;Loss
Leicester;København;Win
Lyon;Juventus;Loss
Dinamo Zagreb;Sevilla;Loss
Paris;Basel;Win
Arsenal;Ludogorets;Win
Dynamo Kyiv;Benfica;Loss
Napoli;Beşiktaş;Loss
Barcelona;Man. City;Win
Celtic;Mönchengladbach;Loss
Bayern;PSV;Win
Rostov;Atlético;Loss
Beşiktaş;Napoli;Draw
Basel;Paris;Loss
Ludogorets;Arsenal;Loss
Benfica;Dynamo Kyiv;Win
Man. City;Barcelona;Win
Mönchengladbach;Celtic;Draw
PSV;Bayern;Loss
Atlético;Rostov;Win
Tottenham;Leverkusen;Loss
Monaco;CSKA Moskva;Win
Legia;Real Madrid;Draw
Dortmund;Sporting CP;Win
Porto;Club Brugge;Win
København;Leicester;Draw
Juventus;Lyon;Draw
Sevilla;Dinamo Zagreb;Win
CSKA Moskva;Leverkusen;Draw
Monaco;Tottenham;Win
Dortmund;Legia;Win
Sporting CP;Real Madrid;Loss
København;Porto;Draw
Leicester;Club Brugge;Win
Sevilla;Juventus;Loss
Dinamo Zagreb;Lyon;Loss
Rostov;Bayern;Win
Beşiktaş;Benfica;Draw
Ludogorets;Basel;Draw
Arsenal;Paris;Draw
Napoli;Dynamo Kyiv;Draw
Mönchengladbach;Man. City;Draw
Celtic;Barcelona;Loss
Atlético;PSV;Win
Basel;Arsenal;Loss
Paris;Ludogorets;Draw
Benfica;Napoli;Loss
Dynamo Kyiv;Beşiktaş;Win
Man. City;Celtic;Draw
Barcelona;Mönchengladbach;Win
PSV;Rostov;Draw
Bayern;Atlético;Win
Tottenham;CSKA Moskva;Win
Leverkusen;Monaco;Win
Legia;Sporting CP;Win
Real Madrid;Dortmund;Draw
Porto;Leicester;Win
Club Brugge;København;Loss
Juventus;Dinamo Zagreb;Win
Lyon;Sevilla;Draw
Benfica;Dortmund;Win
Paris;Barcelona;Win
Bayern;Arsenal;Win
Real Madrid;Napoli;Win
Leverkusen;Atlético;Loss
Man. City;Monaco;Win
Porto;Juventus;Loss
Sevilla;Leicester;Win
Arsenal;Bayern;Loss
Napoli;Real Madrid;Loss
Dortmund;Benfica;Win
Barcelona;Paris;Win
Juventus;Porto;Win
Leicester;Sevilla;Win
Atlético;Leverkusen;Draw
Monaco;Man. City;Win
Juventus;Barcelona;Win
Dortmund;Monaco;Loss
Bayern;Real Madrid;Loss
Atlético;Leicester;Win
Leicester;Atlético;Draw
Real Madrid;Bayern;Win
Monaco;Dortmund;Win
Barcelona;Juventus;Draw
Real Madrid;Atlético;Win
Monaco;Juventus;Loss
Juventus;Monaco;Win
Atlético;Real Madrid;Win
Juventus;Real Madrid;Loss
Alashkert;FC Santa Coloma;Win
TNS;Europa;Loss
Hibernians;FCI;Win
Vikingur;Trepça’89;Win
Linfield;La Fiorita;Win
FCI;Hibernians;Loss
Trepça’89;Vikingur;Loss
Europa;TNS;Loss
La Fiorita;Linfield;Draw
FC Santa Coloma;Alashkert;Draw
Qarabağ;Samtredia;Win
Hibernians;Salzburg;Loss
Rijeka;TNS;Win
Partizan;Budućnost Podgorica;Win
Spartaks Jūrmala;Astana;Loss
Zrinjski;Maribor;Loss
Malmö;Vardar;Draw
H. Beer-Sheva;Honvéd;Win
Sheriff;Kukës;Win
APOEL;Dudelange;Win
BATE;Alashkert;Draw
Mariehamn;Legia;Loss
Žalgiris;Ludogorets;Win
Žilina;København;Loss
Dundalk;Rosenborg;Draw
FH;Vikingur;Draw
Linfield;Celtic;Loss
Astana;Spartaks Jūrmala;Draw
Vardar;Malmö;Win
Alashkert;BATE;Loss
Samtredia;Qarabağ;Loss
Vikingur;FH;Loss
TNS;Rijeka;Loss
Budućnost Podgorica;Partizan;Draw
Dudelange;APOEL;Loss
Rosenborg;Dundalk;Win
København;Žilina;Loss
Kukës;Sheriff;Win
Ludogorets;Žalgiris;Win
Maribor;Zrinjski;Draw
Salzburg;Hibernians;Win
Legia;Mariehamn;Win
Celtic;Linfield;Win
Honvéd;H. Beer-Sheva;Loss
Qarabağ;Sheriff;Draw
Slavia Praha;BATE;Win
AEK;CSKA Moskva;Loss
FCSB;Plzeň;Draw
Vardar;København;Win
Partizan;Olympiacos;Loss
Astana;Legia;Win
Dynamo Kyiv;Young Boys;Win
Salzburg;Rijeka;Draw
H. Beer-Sheva;Ludogorets;Win
Viitorul;APOEL;Win
Maribor;FH;Win
Nice;Ajax;Draw
Celtic;Rosenborg;Draw
Club Brugge;İstanbul Başakşehir;Draw
Sheriff;Qarabağ;Loss
CSKA Moskva;AEK;Win
APOEL;Viitorul;Win
BATE;Slavia Praha;Win
İstanbul Başakşehir;Club Brugge;Win
København;Vardar;Win
Young Boys;Dynamo Kyiv;Win
Plzeň;FCSB;Loss
Ludogorets;H. Beer-Sheva;Win
FH;Maribor;Loss
Ajax;Nice;Draw
Olympiacos;Partizan;Draw
Rijeka;Salzburg;Draw
Rosenborg;Celtic;Loss
Legia;Astana;Win
Qarabağ;København;Win
Sporting CP;FCSB;Draw
Hoffenheim;Liverpool;Loss
Young Boys;CSKA Moskva;Loss
APOEL;Slavia Praha;Win
Napoli;Nice;Win
İstanbul Başakşehir;Sevilla;Loss
H. Beer-Sheva;Maribor;Win
Celtic;Astana;Win
Olympiacos;Rijeka;Win
Astana;Celtic;Win
Maribor;H. Beer-Sheva;Win
Rijeka;Olympiacos;Loss
Nice;Napoli;Loss
Sevilla;İstanbul Başakşehir;Draw
Slavia Praha;APOEL;Draw
København;Qarabağ;Win
FCSB;Sporting CP;Loss
Liverpool;Hoffenheim;Win
CSKA Moskva;Young Boys;Win
Man. United;Basel;Win
Benfica;CSKA Moskva;Loss
Celtic;Paris;Loss
Bayern;Anderlecht;Win
Roma;Atlético;Draw
Chelsea;Qarabağ;Win
Olympiacos;Sporting CP;Loss
Barcelona;Juventus;Win
Liverpool;Sevilla;Draw
Maribor;Spartak Moskva;Draw
Shakhtar Donetsk;Napoli;Win
Feyenoord;Man. City;Loss
Porto;Beşiktaş;Loss
Leipzig;Monaco;Draw
Tottenham;Dortmund;Win
Real Madrid;APOEL;Win
Spartak Moskva;Liverpool;Draw
Sevilla;Maribor;Win
Man. City;Shakhtar Donetsk;Win
Napoli;Feyenoord;Win
Monaco;Porto;Loss
Beşiktaş;Leipzig;Win
APOEL;Tottenham;Loss
Dortmund;Real Madrid;Loss
Qarabağ;Roma;Loss
CSKA Moskva;Man. United;Loss
Basel;Benfica;Win
Anderlecht;Celtic;Loss
Paris;Bayern;Win
Atlético;Chelsea;Loss
Juventus;Olympiacos;Win
Sporting CP;Barcelona;Loss
Maribor;Liverpool;Loss
Spartak Moskva;Sevilla;Win
Feyenoord;Shakhtar Donetsk;Loss
Man. City;Napoli;Win
Leipzig;Porto;Win
Monaco;Beşiktaş;Loss
Real Madrid;Tottenham;Draw
APOEL;Dortmund;Draw
Qarabağ;Atlético;Draw
Benfica;Man. United;Loss
CSKA Moskva;Basel;Loss
Bayern;Celtic;Win
Anderlecht;Paris;Loss
Chelsea;Roma;Draw
Barcelona;Olympiacos;Win
Juventus;Sporting CP;Win
Man. United;Benfica;Win
Basel;CSKA Moskva;Loss
Celtic;Bayern;Loss
Paris;Anderlecht;Win
Roma;Chelsea;Win
Atlético;Qarabağ;Draw
Olympiacos;Barcelona;Draw
Sporting CP;Juventus;Draw
Beşiktaş;Monaco;Draw
Liverpool;Maribor;Win
Sevilla;Spartak Moskva;Win
Shakhtar Donetsk;Feyenoord;Win
Napoli;Man. City;Loss
Porto;Leipzig;Win
Tottenham;Real Madrid;Win
Dortmund;APOEL;Draw
Spartak Moskva;Maribor;Draw
Beşiktaş;Porto;Draw
Sevilla;Liverpool;Draw
Napoli;Shakhtar Donetsk;Win
Man. City;Feyenoord;Win
Monaco;Leipzig;Loss
Dortmund;Tottenham;Loss
APOEL;Real Madrid;Loss
CSKA Moskva;Benfica;Win
Qarabağ;Chelsea;Loss
Basel;Man. United;Win
Paris;Celtic;Win
Anderlecht;Bayern;Loss
Atlético;Roma;Win
Sporting CP;Olympiacos;Win
Juventus;Barcelona;Draw
Man. United;CSKA Moskva;Win
Benfica;Basel;Loss
Celtic;Anderlecht;Loss
Bayern;Paris;Win
Roma;Qarabağ;Win
Chelsea;Atlético;Draw
Olympiacos;Juventus;Loss
Barcelona;Sporting CP;Win
Liverpool;Spartak Moskva;Win
Maribor;Sevilla;Draw
Shakhtar Donetsk;Man. City;Win
Feyenoord;Napoli;Win
Porto;Monaco;Win
Leipzig;Beşiktaş;Loss
Tottenham;APOEL;Win
Real Madrid;Dortmund;Win
Basel;Man. City;Loss
Juventus;Tottenham;Draw
Real Madrid;Paris;Win
Porto;Liverpool;Loss
Bayern;Beşiktaş;Win
Chelsea;Barcelona;Draw
Shakhtar Donetsk;Roma;Win
Sevilla;Man. United;Draw
Liverpool;Porto;Draw
Paris;Real Madrid;Loss
Man. City;Basel;Loss
Tottenham;Juventus;Loss
Man. United;Sevilla;Loss
Roma;Shakhtar Donetsk;Win
Beşiktaş;Bayern;Loss
Barcelona;Chelsea;Win
Juventus;Real Madrid;Loss
Sevilla;Bayern;Loss
Liverpool;Man. City;Win
Barcelona;Roma;Win
Roma;Barcelona;Win
Man. City;Liverpool;Loss
Bayern;Sevilla;Draw
Real Madrid;Juventus;Loss
Liverpool;Roma;Win
Bayern;Real Madrid;Loss
Real Madrid;Bayern;Draw
Roma;Liverpool;Win
Real Madrid;Liverpool;Win
